Store,Date,fcst_revenue,WEEk
S0002,10/1/2019,739,40
S0002,10/2/2019,632,40
S0002,10/3/2019,597,40
S0002,10/4/2019,624,40
S0002,10/5/2019,999,40
S0002,10/6/2019,800,41
S0002,10/7/2019,651,41
S0002,10/8/2019,529,41
S0002,10/9/2019,644,41
S0002,10/10/2019,611,41
S0002,10/11/2019,638,41
S0002,10/12/2019,866,41
S0002,10/13/2019,864,42
S0002,10/14/2019,709,42
S0002,10/15/2019,707,42
S0002,10/16/2019,705,42
S0002,10/17/2019,673,42
S0002,10/18/2019,702,42
S0002,10/19/2019,700,42
S0002,10/20/2019,699,43
S0002,10/21/2019,697,43
S0002,10/22/2019,697,43
S0002,10/23/2019,696,43
S0002,10/24/2019,666,43
S0002,10/25/2019,696,43
S0002,10/26/2019,696,43
S0002,10/27/2019,696,44
S0002,10/28/2019,539,44
S0002,10/29/2019,540,44
S0002,10/30/2019,540,44
S0002,10/31/2019,511,44
S0003,10/1/2019,156,40
S0003,10/2/2019,191,40
S0003,10/3/2019,179,40
S0003,10/4/2019,184,40
S0003,10/5/2019,199,40
S0003,10/6/2019,212,41
S0003,10/7/2019,207,41
S0003,10/8/2019,187,41
S0003,10/9/2019,205,41
S0003,10/10/2019,187,41
S0003,10/11/2019,207,41
S0003,10/12/2019,211,41
S0003,10/13/2019,211,42
S0003,10/14/2019,229,42
S0003,10/15/2019,229,42
S0003,10/16/2019,229,42
S0003,10/17/2019,211,42
S0003,10/18/2019,230,42
S0003,10/19/2019,230,42
S0003,10/20/2019,230,43
S0003,10/21/2019,231,43
S0003,10/22/2019,231,43
S0003,10/23/2019,232,43
S0003,10/24/2019,213,43
S0003,10/25/2019,232,43
S0003,10/26/2019,232,43
S0003,10/27/2019,232,44
S0003,10/28/2019,200,44
S0003,10/29/2019,200,44
S0003,10/30/2019,200,44
S0003,10/31/2019,181,44
S0005,10/1/2019,215,40
S0005,10/2/2019,167,40
S0005,10/3/2019,90,40
S0005,10/4/2019,118,40
