,product_id,current_date,current_stock,predicted_sales,future_week,need_buy,quant_needed
0,P0005,2019-09-30,6.0,0.044855647,2019-10-14,NO,0.0
1,P0007,2019-09-23,0.0,0.22882128,2019-10-07,YES,1.0
2,P0008,2019-09-30,12.0,0.8826377,2019-10-14,NO,0.0
3,P0009,2019-09-30,3.0,0.801551,2019-10-14,NO,0.0
4,P0012,2019-09-30,7.0,0.0,2019-10-14,NO,0.0
5,P0015,2019-09-30,14.0,0.21223015,2019-10-14,NO,0.0
6,P0017,2019-09-30,40.0,7.055452,2019-10-14,NO,0.0
7,P0018,2019-09-30,23.0,3.9190257,2019-10-14,NO,0.0
8,P0025,2019-09-30,7.0,0.0,2019-10-14,NO,0.0
9,P0026,2019-09-23,0.0,2.423816,2019-10-07,YES,6.0
10,P0028,2019-09-30,20.0,0.44799486,2019-10-14,NO,0.0
11,P0033,2019-09-30,14.0,0.0,2019-10-14,NO,0.0
12,P0035,2019-09-30,10.0,5.3568063,2019-10-14,YES,2.0
13,P0039,2019-09-30,4.0,1.2125541,2019-10-14,NO,0.0
14,P0042,2019-09-30,8.0,0.30539286,2019-10-14,NO,0.0
15,P0045,2019-09-30,6.0,0.4183231,2019-10-14,NO,0.0
16,P0048,2019-09-30,2.0,0.0,2019-10-14,NO,0.0
17,P0050,2019-09-30,11.0,0.0,2019-10-14,NO,0.0
18,P0051,2019-09-30,1.0,2.1248987,2019-10-14,YES,4.0
19,P0054,2019-09-30,4.0,0.2815722,2019-10-14,NO,0.0
20,P0055,2019-09-30,19.0,0.4806513,2019-10-14,NO,0.0
21,P0059,2019-09-30,2.0,3.123315,2019-10-14,YES,5.0
22,P0060,2019-09-30,2.0,0.02359874,2019-10-14,NO,0.0
23,P0061,2019-09-30,0.0,2.0460255,2019-10-14,YES,5.0
24,P0063,2019-09-30,2.0,0.9165922,2019-10-14,YES,1.0
25,P0067,2019-09-30,12.0,0.52784175,2019-10-14,NO,0.0
26,P0073,2019-09-30,48.0,0.0,2019-10-14,NO,0.0
27,P0078,2019-09-30,18.0,0.7056092,2019-10-14,NO,0.0
28,P0079,2019-09-30,0.0,2.3100772,2019-10-14,YES,6.0
29,P0083,2019-09-30,7.0,0.13252099,2019-10-14,NO,0.0
30,P0087,2019-09-30,18.0,7.772976,2019-10-14,NO,0.0
31,P0088,2019-09-30,39.0,3.7654345,2019-10-14,NO,0.0
32,P0089,2019-09-30,9.0,0.002005114,2019-10-14,NO,0.0
33,P0090,2019-09-30,35.0,0.6702768,2019-10-14,NO,0.0
34,P0094,2019-09-30,6.0,0.0,2019-10-14,NO,0.0
35,P0095,2019-09-30,7.0,0.0,2019-10-14,NO,0.0
36,P0096,2019-09-30,2.0,0.0,2019-10-14,NO,0.0
37,P0100,2019-09-30,2.0,0.22134373,2019-10-14,NO,0.0
38,P0103,2019-09-30,367.0,30.622007,2019-10-14,NO,0.0
39,P0108,2019-09-30,6.0,-1.895249e-33,2019-10-14,NO,0.0
40,P0114,2019-09-30,49.0,1.3301572,2019-10-14,NO,0.0
41,P0116,2019-09-30,47.0,7.875788,2019-10-14,NO,0.0
42,P0117,2019-09-30,7.0,0.26913154,2019-10-14,NO,0.0
43,P0122,2019-09-30,7.0,0.0,2019-10-14,NO,0.0
44,P0124,2019-09-30,9.0,0.0,2019-10-14,NO,0.0
45,P0125,2019-09-30,226.0,21.714584,2019-10-14,NO,0.0
46,P0128,2019-09-30,32.0,0.0,2019-10-14,NO,0.0
47,P0129,2019-09-30,20.0,2.9110637,2019-10-14,NO,0.0
48,P0130,2019-09-30,80.0,4.9990773,2019-10-14,NO,0.0
49,P0131,2019-09-30,224.0,61.259556,2019-10-14,NO,0.0
50,P0137,2019-09-30,6.0,0.0,2019-10-14,NO,0.0
51,P0140,2019-09-30,15.0,4.107948,2019-10-14,NO,0.0
52,P0141,2019-09-30,15.0,1.17039,2019-10-14,NO,0.0
53,P0144,2019-09-30,6.0,0.67319405,2019-10-14,NO,0.0
54,P0147,2019-09-30,22.0,2.406245,2019-10-14,NO,0.0
55,P0151,2019-09-30,1.0,0.20447624,2019-10-14,NO,0.0
56,P0161,2019-09-30,11.0,0.0,2019-10-14,NO,0.0
57,P0162,2019-09-30,5.0,0.53626275,2019-10-14,NO,0.0
58,P0164,2019-09-30,2.0,0.32165644,2019-10-14,NO,0.0
59,P0165,2019-09-30,45.0,1.144835,2019-10-14,NO,0.0
60,P0169,2019-09-30,24.0,1.0044594,2019-10-14,NO,0.0
61,P0171,2019-09-30,4.0,3.4986072,2019-10-14,YES,4.0
62,P0173,2019-09-30,2.0,0.0,2019-10-14,NO,0.0
63,P0177,2019-09-30,11.0,0.6762034,2019-10-14,NO,0.0
64,P0181,2019-09-30,5.0,0.0,2019-10-14,NO,0.0
65,P0182,2019-09-30,1.0,4.647065,2019-10-14,YES,10.0
66,P0183,2019-09-30,7.0,1.0767312,2019-10-14,NO,0.0
67,P0184,2019-09-30,6.0,0.09641772,2019-10-14,NO,0.0
68,P0185,2019-09-30,1.0,2.8433344,2019-10-14,YES,6.0
69,P0186,2019-09-30,12.0,0.0,2019-10-14,NO,0.0
70,P0187,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
71,P0188,2019-09-30,3.0,0.3734089,2019-10-14,NO,0.0
72,P0190,2019-09-30,3.0,0.0,2019-10-14,NO,0.0
73,P0193,2019-09-30,6.0,0.0,2019-10-14,NO,0.0
74,P0195,2019-09-30,2.0,0.17671682,2019-10-14,NO,0.0
75,P0196,2019-09-30,4.0,0.39005968,2019-10-14,NO,0.0
76,P0197,2019-09-30,23.0,3.382482,2019-10-14,NO,0.0
77,P0198,2019-09-30,75.0,9.525373,2019-10-14,NO,0.0
78,P0204,2019-09-30,32.0,0.24398842,2019-10-14,NO,0.0
79,P0206,2019-09-30,2.0,0.6069268,2019-10-14,NO,0.0
80,P0210,2019-09-23,0.0,0.4317776,2019-10-07,YES,1.0
81,P0212,2019-09-30,11.0,1.682971,2019-10-14,NO,0.0
82,P0214,2019-09-30,1.0,-0.1098213,2019-10-14,NO,0.0
83,P0217,2019-09-30,18.0,2.837793,2019-10-14,NO,0.0
84,P0218,2019-09-30,16.0,-0.012094993,2019-10-14,NO,0.0
85,P0220,2019-09-30,18.0,0.71485376,2019-10-14,NO,0.0
86,P0221,2019-09-30,40.0,0.0,2019-10-14,NO,0.0
87,P0222,2019-09-30,3.0,0.0,2019-10-14,NO,0.0
88,P0223,2019-09-30,5.0,0.08374537,2019-10-14,NO,0.0
89,P0228,2019-09-30,1.0,2.0,2019-10-14,YES,4.0
90,P0229,2019-09-30,2.0,0.33741334,2019-10-14,NO,0.0
91,P0232,2019-09-30,20.0,0.0,2019-10-14,NO,0.0
92,P0233,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
93,P0237,2019-09-30,3.0,0.0,2019-10-14,NO,0.0
94,P0239,2019-09-30,7.0,2.2564094,2019-10-14,NO,0.0
95,P0240,2019-09-30,3.0,0.0,2019-10-14,NO,0.0
96,P0241,2019-09-30,5.0,0.5979513,2019-10-14,NO,0.0
97,P0245,2019-09-30,24.0,0.0,2019-10-14,NO,0.0
98,P0247,2019-09-30,20.0,0.3421981,2019-10-14,NO,0.0
99,P0252,2019-09-30,24.0,1.3122679,2019-10-14,NO,0.0
100,P0256,2019-09-30,4.0,0.0,2019-10-14,NO,0.0
101,P0259,2019-09-30,7.0,0.0,2019-10-14,NO,0.0
102,P0260,2019-09-30,11.0,0.22503148,2019-10-14,NO,0.0
103,P0261,2019-09-30,27.0,9.448912,2019-10-14,NO,0.0
104,P0263,2019-09-30,3.0,0.0,2019-10-14,NO,0.0
105,P0265,2019-09-30,6.0,4.5605845e-11,2019-10-14,NO,0.0
106,P0268,2019-09-30,6.0,7.203374,2019-10-14,YES,10.0
107,P0269,2019-09-30,8.0,2.2856271,2019-10-14,NO,0.0
108,P0270,2019-09-30,,0.0,2019-10-14,NO,
109,P0276,2019-09-30,1.0,0.5505451,2019-10-14,YES,1.0
110,P0277,2019-09-30,22.0,6.0,2019-10-14,NO,0.0
111,P0280,2019-09-30,31.0,4.153787,2019-10-14,NO,0.0
112,P0282,2019-09-30,26.0,0.22299685,2019-10-14,NO,0.0
113,P0283,2019-09-30,20.0,0.29884106,2019-10-14,NO,0.0
114,P0286,2019-09-30,0.0,5.2659907,2019-10-14,YES,12.0
115,P0296,2019-09-30,40.0,17.55342,2019-10-14,NO,0.0
116,P0297,2019-09-30,2.0,0.0,2019-10-14,NO,0.0
117,P0311,2019-09-30,1.0,2.6624317,2019-10-14,YES,5.0
118,P0312,2019-09-30,11.0,1.0,2019-10-14,NO,0.0
119,P0314,2019-09-30,11.0,0.0,2019-10-14,NO,0.0
120,P0317,2019-09-30,4.0,0.0,2019-10-14,NO,0.0
121,P0318,2019-09-30,10.0,0.5188809,2019-10-14,NO,0.0
122,P0324,2019-09-30,8.0,0.0,2019-10-14,NO,0.0
123,P0325,2019-09-30,44.0,5.7296066,2019-10-14,NO,0.0
124,P0326,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
125,P0328,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
126,P0331,2019-09-30,3.0,0.0,2019-10-14,NO,0.0
127,P0332,2019-09-30,5.0,0.2273002,2019-10-14,NO,0.0
128,P0333,2019-09-30,6.0,13.358735,2019-10-14,YES,24.0
129,P0335,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
130,P0336,2019-09-30,17.0,1.3086708,2019-10-14,NO,0.0
131,P0340,2019-09-30,9.0,0.19955993,2019-10-14,NO,0.0
132,P0341,2019-09-30,10.0,-0.022663435,2019-10-14,NO,0.0
133,P0344,2019-09-30,26.0,0.0,2019-10-14,NO,0.0
134,P0348,2019-09-30,10.0,4.0978208,2019-10-14,NO,0.0
135,P0350,2019-09-30,15.0,-0.002967869,2019-10-14,NO,0.0
136,P0351,2019-09-30,7.0,0.0,2019-10-14,NO,0.0
137,P0354,2019-09-30,8.0,0.0018287869,2019-10-14,NO,0.0
138,P0360,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
139,P0361,2019-09-30,1.0,0.077848576,2019-10-14,NO,0.0
140,P0362,2019-09-30,1.0,1.5025287,2019-10-14,YES,3.0
141,P0364,2019-09-30,72.0,66.936806,2019-10-14,YES,76.0
142,P0366,2019-09-30,2.0,0.15501143,2019-10-14,NO,0.0
143,P0371,2019-09-30,8.0,0.0,2019-10-14,NO,0.0
144,P0372,2019-09-30,104.0,5.156708,2019-10-14,NO,0.0
145,P0373,2019-09-30,4.0,0.0,2019-10-14,NO,0.0
146,P0374,2019-09-30,2.0,0.0,2019-10-14,NO,0.0
147,P0376,2019-09-30,6.0,0.0,2019-10-14,NO,0.0
148,P0377,2019-09-30,1.0,-0.29557493,2019-10-14,NO,0.0
149,P0382,2019-09-30,5.0,0.9723303,2019-10-14,NO,0.0
150,P0388,2019-09-30,1.0,17.072496,2019-10-14,YES,37.0
151,P0389,2019-09-30,10.0,0.22636443,2019-10-14,NO,0.0
152,P0390,2019-09-30,6.0,1.1974841,2019-10-14,NO,0.0
153,P0391,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
154,P0392,2019-09-30,5.0,0.16264455,2019-10-14,NO,0.0
155,P0395,2019-09-30,14.0,0.6647682,2019-10-14,NO,0.0
156,P0399,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
157,P0400,2019-09-30,2.0,0.11875636,2019-10-14,NO,0.0
158,P0402,2019-09-30,9.0,1.1888572,2019-10-14,NO,0.0
159,P0405,2019-09-30,4.0,0.89112955,2019-10-14,NO,0.0
160,P0408,2019-09-30,3.0,0.5451812,2019-10-14,NO,0.0
161,P0412,2019-09-30,12.0,0.5260158,2019-10-14,NO,0.0
162,P0413,2019-09-30,13.567,11.351861,2019-10-14,YES,12.0
163,P0414,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
164,P0417,2019-09-30,2.0,0.16905788,2019-10-14,NO,0.0
165,P0419,2019-09-30,72.0,0.19696058,2019-10-14,NO,0.0
166,P0420,2019-09-30,124.0,0.0,2019-10-14,NO,0.0
167,P0421,2019-09-30,1.0,-0.54259586,2019-10-14,NO,0.0
168,P0423,2019-09-30,6.0,0.0,2019-10-14,NO,0.0
169,P0425,2019-09-30,7.0,1.1003722,2019-10-14,NO,0.0
170,P0426,2019-09-30,21.0,0.0,2019-10-14,NO,0.0
171,P0427,2019-09-30,23.0,3.4965565,2019-10-14,NO,0.0
172,P0428,2019-09-30,4.0,3.771234,2019-10-14,YES,5.0
173,P0431,2019-09-30,12.0,2.5404572,2019-10-14,NO,0.0
174,P0435,2019-09-30,14.0,0.20912072,2019-10-14,NO,0.0
175,P0436,2019-09-30,31.0,5.7803645,2019-10-14,NO,0.0
176,P0437,2019-09-30,6.0,0.27834028,2019-10-14,NO,0.0
177,P0439,2019-09-30,118.0,3.3394194,2019-10-14,NO,0.0
178,P0445,2019-09-30,46.0,0.0,2019-10-14,NO,0.0
179,P0446,2019-09-30,3.0,2.0035481,2019-10-14,YES,2.0
180,P0450,2019-09-30,4.0,0.11547435,2019-10-14,NO,0.0
181,P0451,2019-09-30,3.0,0.0,2019-10-14,NO,0.0
182,P0452,2019-09-30,15.0,0.0,2019-10-14,NO,0.0
183,P0453,2019-09-30,17.0,1.6183926,2019-10-14,NO,0.0
184,P0454,2019-09-30,9.0,0.8633292,2019-10-14,NO,0.0
185,P0456,2019-09-30,6.0,0.12057195,2019-10-14,NO,0.0
186,P0459,2019-09-30,23.0,3.3405242,2019-10-14,NO,0.0
187,P0460,2019-09-30,,0.0,2019-10-14,NO,
188,P0463,2019-09-30,1.0,0.82972956,2019-10-14,YES,1.0
189,P0464,2019-09-30,5.0,0.0,2019-10-14,NO,0.0
190,P0466,2019-09-30,8.0,0.99022067,2019-10-14,NO,0.0
191,P0470,2019-09-30,4.0,0.42811286,2019-10-14,NO,0.0
192,P0475,2019-09-30,2.0,0.0,2019-10-14,NO,0.0
193,P0476,2019-09-30,1.0,0.0,2019-10-14,NO,0.0
194,P0477,2019-09-30,102.0,1.0551497,2019-10-14,NO,0.0
